ave_functions_utilised_from_dlls_imported,bogus_functions,num_blacklisted_functions,num_whitelisted_functions,persistent_reg_key,num_native_functions,label
0.0,0.0,0.0,0.0,0.0,0.0,1
0.6760355029585802,27.0,2.0,0.0,0.0,3.0,1
0.7777777777777777,27.0,1.0,0.0,0.0,3.0,1
0.8449905482041586,27.0,1.0,0.0,0.0,3.0,1
5.083333333333334,6.0,0.0,0.0,0.0,0.0,1
2.4285714285714284,3.0,4.0,0.0,0.0,0.0,1
2.046875,0.0,1.0,0.0,0.0,0.0,1
0.1157024793388429,0.0,0.0,0.0,0.0,0.0,1
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1
4.639999999999999,10.0,0.0,0.0,0.0,5.0,1
4.999999999999999,10.0,0.0,0.0,0.0,5.0,1
2.693877551020408,14.0,3.0,1.0,0.0,6.0,1
3.083333333333333,2.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
5.88,1.0,1.0,0.0,1.0,0.0,1
1.8343195266272188,6.0,8.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
3.194444444444445,6.0,1.0,1.0,0.0,0.0,1
3.617283950617284,1.0,1.0,0.0,-1.0,0.0,1
7.888888888888888,1.0,1.0,0.0,0.0,0.0,1
1.0612244897959182,9.0,2.0,1.0,0.0,13.0,1
3.0,0.0,0.0,0.0,0.0,0.0,1
0.75,0.0,0.0,0.0,0.0,2.0,1
3.0,0.0,0.0,0.0,0.0,0.0,1
5.48,1.0,0.0,0.0,0.0,0.0,1
23.75,0.0,1.0,0.0,0.0,0.0,1
6.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
6.3125,0.0,1.0,0.0,0.0,1.0,1
3.26530612244898,3.0,0.0,1.0,-1.0,0.0,1
0.2040816326530611,0.0,0.0,0.0,0.0,0.0,1
5.680000000000001,0.0,2.0,0.0,0.0,0.0,1
5.680000000000001,0.0,2.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
3.555555555555556,0.0,1.0,0.0,0.0,0.0,1
3.0,0.0,0.0,0.0,0.0,0.0,1
3.777777777777777,3.0,1.0,0.0,0.0,0.0,1
3.3469387755102047,3.0,0.0,1.0,-1.0,0.0,0
3.367346938775511,3.0,0.0,1.0,-1.0,0.0,0
3.3469387755102047,3.0,0.0,1.0,-1.0,0.0,0
2.1666666666666665,12.0,0.0,2.0,1.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0
3.367346938775511,3.0,0.0,1.0,-1.0,0.0,0
3.367346938775511,3.0,0.0,1.0,-1.0,0.0,0
2.6875,3.0,0.0,1.0,-1.0,0.0,0
