PercentageOfFileAPICalls,PercentageOfUniqueFiles,PercentageOfUniqueFileLocations,PercentageOfUniqueFileExtensions,PercentageOfPotentialCustomExtensions,PercentageOfRansomwareExtensions,PercentageOfFileExtensionsDocuments,PercentageOfFileExtensionsImages,PercentageOfFileExtensionsVideos,PercentageOfFileExtensionsAudio,PercentageOfFileExtensionsDatabase,PercentageOfFileExtensionsArchives,PercentageOfFileExtensionsExecutables,PercentageOfFileExtensionsSystem,PercentageOfFileExtensionsBackup,PercentageOfFileExtensionsEmail,PercentageOfFileExtensionsVMImages,PercentageOfFileExtensionsGames,PercentageOfFileExtensionsDevelopment,APICallsPerSecond,label
8,33,33,22,67,5,0,0,0,0,0,0,33,0,0,0,0,0,0,8,1
8,56,56,44,22,11,0,0,0,0,0,0,78,0,0,0,0,0,0,688,1
4,40,40,4,85,1,0,0,0,0,0,0,11,3,0,0,0,0,0,106,1
4,62,62,50,25,7,0,0,0,0,0,0,50,25,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,56,56,44,22,11,0,0,0,0,0,0,78,0,0,0,0,0,0,861,1
7,100,100,100,0,14,100,0,0,0,0,0,0,0,0,0,0,0,0,20,1
9,57,57,57,29,10,14,0,0,0,0,0,57,0,0,0,0,0,0,0,1
9,75,75,75,50,7,0,0,0,0,0,0,50,0,0,0,0,0,0,384,1
9,57,57,57,29,10,14,0,0,0,0,0,57,0,0,0,0,0,0,22,1
9,57,57,57,29,10,14,0,0,0,0,0,57,0,0,0,0,0,0,17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,60,60,60,50,3,0,0,0,0,0,0,50,0,0,0,0,0,0,491,1
85,16,16,1,65,4,2,16,1,0,0,0,5,1,0,0,0,0,9,457,1
59,25,25,6,62,3,10,11,0,0,0,0,8,9,0,0,0,0,0,330,1
8,64,64,64,45,3,0,0,0,0,0,0,45,9,0,0,0,0,0,171,1
0,50,50,50,0,14,0,0,0,0,0,0,100,0,0,0,0,0,0,597,1
8,60,60,60,50,3,0,0,0,0,0,0,50,0,0,0,0,0,0,160,1
1,11,11,11,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,48,1
4,40,40,4,84,1,0,0,0,0,0,0,11,5,0,0,0,0,0,90,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,1
1,92,92,25,8,13,0,0,0,0,0,0,92,0,0,0,0,0,0,1725,1
9,75,75,75,50,7,0,0,0,0,0,0,50,0,0,0,0,0,0,218,1
2,100,100,100,0,14,0,0,0,0,0,0,100,0,0,0,0,0,0,4545,1
2,100,100,100,0,14,0,0,0,0,0,0,100,0,0,0,0,0,0,8516,1
81,22,22,1,42,2,2,4,0,1,0,0,6,30,0,0,1,0,13,1099,1
5,25,25,25,0,4,0,0,0,0,0,0,100,0,0,0,0,0,0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,57,57,57,29,10,0,0,0,0,0,0,57,0,0,0,0,0,14,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,17,17,2,72,3,0,0,0,0,0,1,25,0,0,0,0,0,1,216,1
5,1,1,0,42,7,0,0,0,0,0,0,51,6,0,0,0,0,0,880,1
73,13,13,1,32,9,1,2,0,0,0,0,41,0,0,0,24,0,0,1695,1
39,11,11,0,10,11,22,44,2,0,0,0,2,2,0,0,0,0,18,161,1
2,71,71,71,71,4,0,0,0,0,0,0,29,0,0,0,0,0,0,1114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,39,39,3,7,7,5,29,2,0,0,0,49,6,1,0,0,0,1,159,1
67,14,14,0,41,4,17,0,0,0,2,0,0,9,0,0,16,2,12,1136,1
2,100,100,100,0,14,0,0,0,0,0,0,100,0,0,0,0,0,0,16,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,2,1,1,8,1,7,0,0,3,0,50,2,35,0,0,0,0,942,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,18,18,0,34,8,5,5,0,0,1,0,3,2,0,0,4,0,45,1023,1
8,25,25,3,2,12,78,0,0,0,1,3,11,5,0,0,0,0,0,29,0
0,30,30,21,62,1,8,0,0,0,5,0,8,16,0,0,0,0,0,4249,1
51,3,3,1,4,7,3,5,0,0,0,4,50,1,33,0,0,0,0,525,0
61,1,1,0,1,6,1,1,0,0,0,12,41,0,39,0,0,5,0,1241,0
41,2,2,1,54,0,6,11,0,0,3,0,3,16,1,0,0,5,0,1472,1
9,75,75,75,50,7,0,0,0,0,0,0,50,0,0,0,0,0,0,310,0
65,10,10,0,39,6,2,34,0,0,0,1,11,2,11,0,0,0,0,1472,0
61,1,1,0,20,4,1,1,0,0,0,5,31,0,38,0,0,3,0,1726,0
63,1,1,0,2,8,0,1,0,0,0,0,58,0,37,0,0,0,0,1466,0
12,20,20,14,3,4,0,0,0,0,6,0,25,22,44,0,0,0,0,1859,0
65,2,2,0,12,7,1,3,0,0,0,1,46,2,36,0,0,0,0,1451,0
52,2,2,0,1,9,1,4,0,0,0,0,59,1,35,0,0,0,0,1228,0
12,22,22,15,3,4,0,0,0,0,7,0,27,24,39,0,0,0,0,2148,0
72,2,2,0,12,5,1,3,0,0,0,8,36,1,37,0,0,2,0,1531,0
50,2,2,1,0,8,1,4,0,0,0,0,58,1,36,0,0,0,0,1254,0
55,3,3,0,0,8,8,2,0,0,0,0,53,1,36,0,0,0,0,1482,0
75,5,5,0,26,5,0,1,0,0,0,2,34,0,30,0,2,2,2,1537,0
54,2,2,0,10,6,3,5,0,0,0,10,38,1,34,0,0,0,0,1212,0
61,0,0,0,0,9,0,1,0,0,0,0,60,0,38,0,0,0,0,1580,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,584,0
29,3,3,1,1,9,1,12,0,0,0,0,57,3,25,0,0,0,0,1153,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2267,0
39,6,6,1,9,9,2,41,0,0,0,0,29,3,16,0,0,0,0,1223,0
20,13,13,3,8,7,8,23,0,0,1,0,38,9,14,0,0,0,0,809,0
12,22,22,15,3,4,0,0,0,0,7,0,27,23,40,0,0,0,0,1990,0
55,12,12,1,39,4,5,15,0,0,0,1,21,3,10,0,0,0,4,1632,0
47,9,9,1,39,4,1,20,0,0,0,0,24,1,13,0,0,0,2,1491,0
57,11,11,1,43,4,14,12,0,0,0,1,15,3,9,0,0,0,3,1654,0
71,14,14,1,7,2,19,15,0,0,0,0,12,30,13,0,0,0,3,1730,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,1812,0
58,1,1,0,8,7,0,1,0,0,0,2,51,1,37,0,0,0,0,1302,0
41,1,1,0,0,8,1,5,0,0,0,0,52,2,40,0,0,0,0,1103,0
62,1,1,0,0,8,7,1,0,0,0,0,55,0,36,0,0,0,0,1585,0
72,3,3,0,41,3,5,4,0,0,0,0,17,0,30,0,0,0,3,1576,0
83,8,8,0,15,7,9,25,0,0,0,2,9,4,22,0,1,0,12,1473,0
12,22,22,15,3,4,0,0,0,0,7,0,27,23,40,0,0,0,0,1202,0
21,9,9,3,4,4,3,12,0,0,1,0,23,44,13,0,0,0,0,1096,0
21,6,6,2,2,8,2,20,0,0,1,0,50,6,19,0,0,0,0,1073,0
59,3,3,0,14,7,1,3,0,0,2,0,44,3,33,0,0,1,0,1081,0
24,7,7,2,5,6,5,9,0,0,1,1,30,31,17,0,0,0,0,1069,0
74,10,10,0,3,5,1,42,0,0,0,0,27,0,25,0,0,0,3,1439,0
79,8,8,0,14,9,1,48,0,0,0,1,9,3,11,0,0,0,12,1694,0
57,1,1,0,2,1,0,1,0,0,0,43,6,0,47,0,0,0,0,1495,0
36,10,10,2,5,5,11,10,0,0,0,15,34,4,21,0,0,0,0,761,0
70,1,1,0,6,5,0,3,0,0,0,3,35,1,36,0,0,17,0,1304,0
47,2,2,0,0,8,1,7,0,0,0,0,47,1,43,0,0,0,0,1329,0
11,22,22,15,3,4,0,0,0,0,7,0,27,24,39,0,0,0,0,2218,0
69,3,3,0,25,2,0,1,0,0,0,0,14,0,35,0,0,25,0,1478,0
23,11,11,3,1,8,4,26,0,0,1,0,44,5,18,0,0,0,0,1070,0
68,11,11,1,64,3,10,1,0,0,0,0,9,1,14,0,0,0,0,1685,0
86,1,1,0,14,6,0,0,0,0,0,3,45,0,35,0,0,2,0,1336,0
60,3,3,0,2,5,3,7,0,2,0,2,31,1,31,0,0,21,0,1511,0
76,3,3,1,44,3,1,3,0,0,0,0,21,0,24,0,0,0,6,1425,0
64,5,5,1,14,4,1,5,0,0,0,8,31,1,33,0,0,1,6,1259,0
33,8,8,2,2,8,12,32,0,1,0,0,26,2,24,0,0,0,1,1111,0
47,8,8,1,1,3,12,42,0,11,0,0,12,2,20,0,0,0,0,790,0
35,8,8,1,2,8,14,13,0,1,0,0,38,8,22,0,0,1,0,1015,0
42,3,3,1,0,8,1,7,0,0,0,0,54,1,37,0,0,0,0,673,0
70,3,3,0,0,2,0,10,0,39,0,0,3,4,44,0,0,0,0,1101,0
36,12,12,2,3,8,3,37,0,7,0,0,29,3,19,0,0,0,0,1138,0
57,3,3,1,3,2,1,11,0,32,0,0,13,1,37,0,0,1,0,1067,0
71,12,12,0,29,2,32,5,0,0,0,0,14,1,19,0,0,0,0,1751,0
77,2,2,0,19,6,0,4,0,0,0,5,36,1,32,0,1,2,0,1766,0
27,9,9,2,5,7,5,20,0,6,0,0,45,5,14,0,0,0,0,1332,0
38,3,3,1,0,2,1,4,0,0,0,0,8,14,34,0,0,38,0,1406,0
52,6,6,1,5,9,1,45,0,12,0,0,21,2,14,0,0,0,0,1938,0
81,4,4,0,6,5,1,23,0,24,0,0,12,2,32,0,0,0,0,1209,0
68,1,1,0,1,4,0,1,0,5,0,0,53,1,38,0,0,0,0,1488,0
39,5,5,1,1,7,2,24,0,0,0,0,27,3,32,0,0,0,11,1059,0
84,6,6,0,20,5,0,31,0,16,0,0,3,0,29,0,0,0,0,1403,0
29,6,6,1,11,7,2,12,0,0,0,0,47,4,24,0,0,0,0,1001,0
45,4,4,1,10,8,1,4,0,0,0,0,50,1,30,0,0,0,4,1066,0
20,11,11,3,2,7,5,26,0,0,1,0,43,6,17,0,0,0,0,520,0
47,2,2,0,0,7,1,4,0,0,0,0,50,11,34,0,0,0,0,894,0
76,4,4,0,7,8,1,2,0,0,0,0,55,0,35,0,0,0,0,881,0
81,10,10,0,20,6,11,11,0,0,0,0,22,0,20,0,0,0,15,1626,0
42,2,2,1,0,8,1,3,0,0,0,0,53,10,33,0,0,0,0,1172,0
37,7,7,2,15,5,2,29,0,0,0,0,20,14,19,0,0,0,0,823,0
60,2,2,0,6,6,1,21,3,0,0,0,33,1,36,0,0,0,0,869,0
80,2,2,0,16,7,0,3,0,0,0,0,45,0,34,0,0,1,1,1124,0
47,7,7,1,11,5,1,22,0,0,5,2,30,2,27,0,0,0,0,1079,0
25,11,11,2,3,8,19,17,0,0,0,0,35,7,19,0,0,0,0,964,0
83,5,5,0,27,4,2,19,0,0,0,0,23,0,27,0,0,0,1,1361,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,2,0,5,7,3,2,0,1,0,0,50,5,34,0,0,0,0,751,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,4,1,0,9,1,5,0,0,0,1,61,1,31,0,0,0,0,929,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,2,0,5,8,0,2,0,0,0,0,56,1,36,0,0,0,0,1216,0
72,3,3,0,1,9,1,2,0,0,0,0,61,1,34,0,0,0,0,1186,0
77,6,6,0,6,5,15,27,0,0,0,0,28,1,23,0,0,0,0,1209,0
72,3,3,0,29,4,0,3,0,0,0,5,28,0,33,0,0,2,0,1752,0
22,6,6,2,1,8,2,12,0,0,1,0,52,4,29,0,0,0,0,547,0
81,2,2,0,6,8,0,1,0,0,0,0,57,0,34,0,0,0,2,1211,0
22,11,11,3,1,7,3,25,0,0,3,0,44,8,16,0,0,0,0,872,0
55,4,4,1,9,7,5,9,0,0,0,0,46,1,30,0,0,0,0,681,0
80,4,4,0,10,5,1,10,0,0,0,6,26,0,30,0,0,0,17,863,0
36,3,3,1,1,7,4,5,0,0,0,0,46,17,27,0,0,0,0,1256,0
66,3,3,0,0,7,13,5,0,0,0,1,48,2,31,0,0,0,0,856,0
26,4,4,2,1,6,2,8,0,0,0,0,36,25,28,0,0,0,0,978,0
32,5,5,1,9,7,13,9,0,0,0,0,39,3,27,0,0,0,0,595,0
26,6,6,3,4,5,3,10,0,0,1,4,29,31,19,0,0,0,0,911,0
26,7,7,3,7,5,4,12,0,0,1,0,26,34,17,0,0,0,0,247,0
27,3,3,1,1,8,1,13,0,0,0,0,50,3,31,0,0,0,0,259,0
20,11,11,3,2,7,3,27,0,0,1,1,43,5,18,0,0,0,0,230,0
54,6,6,1,31,6,5,17,0,0,0,0,30,1,15,0,0,0,1,668,0
38,4,4,1,0,7,1,6,0,0,0,0,47,15,30,0,0,0,0,606,0
23,5,5,2,1,8,4,19,0,0,1,0,50,5,20,0,0,0,0,732,0
30,3,3,1,1,8,2,11,0,0,0,0,50,3,33,0,0,0,0,972,0
29,5,5,2,1,7,3,8,0,0,0,0,41,25,22,0,0,0,0,1014,0
30,4,4,1,1,6,3,6,0,0,0,0,38,20,32,0,0,0,0,972,0
20,13,13,3,1,8,5,29,0,0,1,0,43,10,11,0,0,0,0,856,0
20,9,9,3,3,4,5,13,0,0,1,0,21,45,11,0,0,0,0,983,0
35,8,8,1,2,9,23,9,0,0,0,5,39,2,21,0,0,0,0,580,0
71,3,3,0,10,9,8,2,0,0,0,1,54,1,23,0,0,0,0,1225,0
29,5,5,1,4,8,5,15,0,0,0,0,49,3,23,0,0,0,0,1005,0
34,4,4,1,12,6,4,5,0,0,0,0,36,16,27,0,0,0,0,690,0
28,6,6,1,1,7,3,6,0,0,0,4,40,21,24,0,0,0,0,1237,0
24,5,5,2,1,8,2,15,0,0,0,0,53,5,23,0,0,0,0,932,0
50,2,2,0,9,8,1,4,0,0,0,0,51,1,34,0,0,0,0,1188,0
22,9,9,2,16,6,3,13,0,0,1,3,37,4,23,0,0,0,0,1092,0
47,2,2,1,1,4,1,54,0,0,0,0,26,4,14,0,0,0,0,1283,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2113,0
76,11,11,0,12,9,0,11,0,0,0,0,25,0,22,0,4,0,26,1616,0
33,5,5,1,1,8,1,12,0,0,0,0,55,2,29,0,0,0,0,1309,0
12,19,19,13,3,3,0,0,0,0,6,0,24,21,47,0,0,0,0,2348,0
28,5,5,2,1,6,2,9,0,0,0,1,37,27,22,0,0,0,0,1410,0
32,3,3,1,7,8,2,9,0,0,0,0,52,3,27,0,0,0,0,1309,0
56,2,2,0,3,7,0,3,0,0,0,1,48,4,36,0,0,0,5,1709,0
29,6,6,2,2,2,3,9,0,30,0,2,13,30,12,0,0,0,0,1420,0
22,13,13,2,16,6,3,20,0,0,1,1,36,9,16,0,0,0,0,878,0
59,3,3,0,19,6,1,3,0,0,0,1,42,1,33,0,0,1,0,1523,0
59,3,3,0,10,7,0,3,0,0,0,0,51,1,34,0,0,0,0,1312,0
31,3,3,1,0,9,2,10,0,0,0,0,57,4,27,0,0,0,0,1055,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2174,0
36,2,2,1,0,8,1,4,0,0,0,0,51,14,29,0,0,0,0,1665,0
22,10,10,3,1,8,5,23,0,0,1,1,44,6,19,0,0,0,0,866,0
28,5,5,1,7,8,2,12,0,0,0,0,50,4,25,0,0,0,0,991,0
39,2,2,1,0,6,2,3,0,0,0,0,41,12,32,0,0,9,0,1782,0
26,3,3,1,1,8,1,12,0,0,0,0,54,3,28,0,0,0,0,1043,0
71,5,5,0,5,8,0,26,0,0,0,0,41,0,28,0,0,0,0,1619,0
31,3,3,1,0,8,1,10,0,0,0,0,50,3,35,0,0,0,0,864,0
24,7,7,2,10,7,2,17,0,0,0,0,47,5,19,0,0,0,0,1133,0
37,3,3,1,1,7,1,9,0,0,0,0,49,3,36,0,0,0,0,1056,0
12,20,20,14,3,4,0,0,0,0,6,0,25,22,44,0,0,0,0,2267,0
28,6,6,2,7,8,3,17,0,0,0,1,45,8,20,0,0,0,0,957,0
12,21,21,15,3,4,0,0,0,0,7,0,26,23,41,0,0,0,0,2085,0
58,3,3,0,19,6,1,4,0,0,0,0,42,3,32,0,0,0,0,784,0
17,12,12,4,4,7,3,31,0,0,1,0,41,7,13,0,0,0,0,1046,0
29,6,6,1,12,7,2,11,0,0,0,0,46,4,24,0,0,0,0,1013,0
43,3,3,1,0,7,1,3,0,0,0,0,48,18,30,0,0,0,0,1267,0
52,0,0,0,0,8,0,1,0,0,0,0,59,0,39,0,0,0,0,1558,0
11,32,32,24,5,6,0,0,0,0,11,0,42,37,5,0,0,0,0,1889,0
57,6,6,1,16,6,0,18,0,0,0,0,34,1,30,0,0,0,0,1138,0
29,7,7,2,1,8,3,17,0,0,0,0,49,4,26,0,0,0,0,705,0
38,6,6,1,20,6,1,23,0,0,0,0,31,2,21,0,0,0,2,1442,0
77,3,3,0,8,8,0,2,0,0,0,0,54,0,35,0,0,0,1,860,0
28,7,7,2,9,7,2,17,0,0,0,0,42,5,25,0,0,0,0,896,0
21,8,8,3,1,4,5,15,0,0,1,0,21,49,8,0,0,0,0,1167,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2188,0
84,5,5,0,24,7,6,37,0,0,0,0,12,2,16,0,1,0,2,1605,0
26,5,5,2,1,8,2,16,0,0,0,0,57,5,19,0,0,0,0,1131,0
65,4,4,1,28,5,8,4,0,0,0,0,32,1,28,0,0,0,0,1459,0
21,7,7,3,2,8,4,25,0,0,1,0,51,6,11,0,0,0,0,1143,0
27,6,6,2,11,5,2,7,0,0,0,2,32,23,22,0,0,0,0,1225,0
26,9,9,2,2,8,2,20,0,0,1,0,49,6,21,0,0,0,0,1219,0
16,9,9,5,1,4,0,10,0,0,2,0,26,47,14,0,0,0,0,71,0
32,4,4,1,1,9,2,17,0,0,0,0,49,4,26,0,0,0,0,1190,0
48,2,2,0,0,7,4,4,0,0,0,0,48,12,33,0,0,0,0,1186,0
23,5,5,2,1,8,2,21,0,0,1,2,50,6,16,0,0,0,0,1317,0
23,5,5,2,1,5,2,7,0,0,1,0,33,32,25,0,0,0,0,953,0
12,22,22,15,3,4,0,0,0,0,7,0,27,23,40,0,0,0,0,2088,0
43,2,2,0,11,7,0,4,0,0,0,0,45,1,37,0,0,0,0,1123,0
13,20,20,14,3,4,0,0,0,0,6,0,25,22,45,0,0,0,0,1186,0
51,4,4,1,17,7,0,4,0,0,0,0,45,1,32,0,0,0,0,1129,0
41,1,1,1,1,9,1,5,0,0,0,0,58,1,34,0,0,0,0,1275,0
71,1,1,0,13,9,1,36,0,0,0,0,28,1,21,0,0,0,0,1616,0
22,5,5,2,1,8,3,21,0,0,1,0,52,5,17,0,0,0,0,1325,0
28,4,4,1,1,8,2,14,0,0,0,0,53,4,26,0,0,0,0,1081,0
31,6,6,1,13,7,2,12,0,0,0,0,46,4,24,0,0,0,0,1180,0
32,6,6,1,20,5,3,9,0,0,1,0,33,3,31,0,0,0,0,1083,0
60,9,9,1,13,8,2,33,0,0,0,4,21,4,20,0,0,0,3,1615,0
24,8,8,3,1,5,5,14,0,0,1,0,23,44,12,0,0,0,0,1065,0
20,7,7,2,1,9,4,25,0,0,1,0,51,8,9,0,0,0,0,844,0
20,13,13,3,1,8,6,29,0,0,1,0,42,11,10,0,0,0,0,418,0
31,6,6,2,1,8,2,16,0,0,0,0,48,4,29,0,0,0,0,1052,0
41,2,2,1,1,7,2,6,0,0,0,1,49,2,39,0,0,0,0,1184,0
39,3,3,1,11,7,1,7,0,0,1,0,48,2,29,0,1,0,0,1163,0
23,8,8,2,1,5,2,10,0,0,1,4,33,32,16,0,0,0,0,1165,0
23,7,7,3,1,5,4,12,0,0,5,0,23,42,13,0,0,0,0,1286,0
35,3,3,1,1,6,1,6,0,0,0,0,41,18,32,0,0,0,0,1531,0
20,8,8,3,2,4,1,15,0,0,1,1,19,54,7,0,0,0,0,1225,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2230,0
55,2,2,0,0,8,1,3,0,0,0,0,58,8,30,0,0,0,0,1301,0
72,11,11,0,39,5,1,27,0,0,0,0,13,5,13,0,0,0,2,549,0
40,4,4,1,3,8,1,6,0,0,1,0,51,9,30,0,0,0,0,1109,0
36,4,4,1,1,7,1,7,0,0,0,0,46,17,29,0,0,0,0,1207,0
44,2,2,1,10,8,1,6,0,0,0,0,51,2,29,0,0,0,0,1135,0
28,4,4,2,31,4,2,15,0,0,0,0,27,4,22,0,0,0,0,1395,0
63,1,1,0,3,8,0,1,0,0,0,0,58,0,36,0,0,0,0,1497,0
20,8,8,3,1,4,5,15,0,0,1,0,21,47,10,0,0,0,0,1093,0
66,2,2,0,30,4,1,5,0,11,0,0,24,1,28,0,0,0,0,1556,0
38,2,2,1,0,8,2,6,0,0,0,0,57,2,33,0,0,0,0,1187,0
23,9,9,3,10,4,3,9,0,0,1,5,19,35,15,0,0,3,0,469,0
23,6,6,2,2,6,2,10,0,0,1,0,35,30,20,0,0,0,0,1099,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,1770,0
29,4,4,2,2,6,2,7,0,0,0,0,38,25,25,0,0,0,0,766,0
50,2,2,1,0,7,0,7,0,0,0,0,52,8,32,0,0,0,0,1116,0
24,8,8,2,12,7,7,16,0,0,0,0,41,6,18,0,0,0,0,547,0
36,2,2,1,1,8,1,5,0,0,0,0,57,2,35,0,0,0,0,1057,0
57,1,1,0,0,9,0,0,0,0,0,0,60,2,37,0,0,0,0,1068,0
44,6,6,1,17,7,3,11,0,0,0,0,42,4,23,0,0,0,1,1135,0
51,2,2,1,5,9,1,3,0,0,0,0,57,1,33,0,0,0,0,980,0
21,8,8,2,6,8,5,21,0,0,1,0,46,7,14,0,0,0,0,830,0
12,20,20,14,3,4,0,0,0,0,6,0,25,22,44,0,0,0,0,1532,0
12,20,20,14,3,4,0,0,0,0,6,0,25,22,45,0,0,0,0,2140,0
36,6,6,2,1,8,3,12,0,0,0,0,54,3,26,0,0,0,0,1169,0
11,30,30,20,5,5,0,0,0,0,9,0,36,32,18,0,0,0,0,2059,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,8,8,3,2,4,5,15,0,0,1,0,20,48,9,0,0,0,0,1233,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2,2,2,1,14,97,0,0,0,1,0,0,1,0,0,0,0,0,262,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,100,100,100,0,14,0,0,0,0,0,0,100,0,0,0,0,0,0,4681,1
1,76,76,24,18,12,0,0,0,0,0,0,82,0,0,0,0,0,0,214,1
1,91,91,18,9,13,0,0,0,0,0,0,91,0,0,0,0,0,0,517,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
